gender,NationalITy,PlaceofBirth,StageID,GradeID,SectionID,Topic,Semester,Relation,raisedhands,VisITedResources,AnnouncementsView,Discussion,ParentAnsweringSurvey,ParentschoolSatisfaction,StudentAbsenceDays,Class
F,Jordan,Jordan,MiddleSchool,G-08,A,Geology,F,Mum,70.0,69.0,46.0,45.0,Yes,Good,Above-7,M
M,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,12.0,30.0,0.0,17.0,No,Good,Above-7,L
F,KW,KuwaIT,HighSchool,G-11,A,Science,F,Mum,49.0,70.0,19.0,75.0,Yes,Good,Under-7,H
M,Iraq,Iraq,MiddleSchool,G-08,A,History,F,Father,72.0,87.0,72.0,89.0,Yes,Good,Above-7,M
F,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Mum,70.0,92.0,50.0,7.0,Yes,Good,Under-7,H
F,KW,KuwaIT,lowerlevel,G-04,A,History,S,Mum,80.0,87.0,72.0,60.0,No,Good,Under-7,H
F,KW,KuwaIT,lowerlevel,G-04,A,History,S,Mum,21.0,27.0,52.0,34.0,Yes,Good,Above-7,M
F,KW,KuwaIT,MiddleSchool,G-07,B,IT,F,Father,70.0,80.0,25.0,70.0,Yes,Good,Under-7,M
M,Jordan,Jordan,lowerlevel,G-02,A,Arabic,S,Father,10.0,58.0,51.0,48.0,Yes,Good,Above-7,M
M,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,1.0,0.0,1.0,12.0,No,Bad,Above-7,L
F,KW,KuwaIT,lowerlevel,G-04,A,Science,S,Father,69.0,76.0,82.0,94.0,No,Bad,Under-7,M
M,Jordan,Jordan,MiddleSchool,G-08,A,Chemistry,F,Mum,75.0,72.0,64.0,39.0,Yes,Good,Above-7,L
M,Palestine,Jordan,MiddleSchool,G-06,A,English,F,Mum,71.0,70.0,65.0,69.0,Yes,Good,Under-7,M
M,KW,KuwaIT,MiddleSchool,G-07,B,Science,F,Father,12.0,11.0,8.0,40.0,No,Bad,Above-7,L
M,Jordan,Jordan,lowerlevel,G-02,A,Arabic,F,Father,10.0,17.0,50.0,21.0,No,Bad,Under-7,M
F,Jordan,Jordan,MiddleSchool,G-07,A,Biology,S,Mum,90.0,88.0,54.0,12.0,Yes,Good,Above-7,M
M,Jordan,Jordan,lowerlevel,G-02,A,French,F,Mum,60.0,92.0,83.0,23.0,Yes,Good,Under-7,H
M,Iran,Iran,MiddleSchool,G-08,C,Spanish,S,Mum,27.0,41.0,32.0,61.0,Yes,Bad,Above-7,M
M,Jordan,SaudiArabia,lowerlevel,G-02,B,Arabic,F,Mum,4.0,10.0,11.0,7.0,No,Good,Above-7,L
M,KW,KuwaIT,MiddleSchool,G-07,A,Math,F,Father,55.0,13.0,35.0,90.0,No,Bad,Above-7,M
M,lebanon,lebanon,MiddleSchool,G-08,A,Math,F,Father,20.0,14.0,12.0,19.0,No,Bad,Above-7,L
M,Jordan,SaudiArabia,MiddleSchool,G-08,A,Geology,F,Father,85.0,89.0,22.0,61.0,No,Bad,Under-7,H
M,SaudiArabia,USA,HighSchool,G-11,A,Science,S,Father,23.0,63.0,71.0,89.0,Yes,Good,Under-7,M
F,Jordan,Jordan,lowerlevel,G-04,B,Science,F,Mum,11.0,20.0,21.0,23.0,No,Bad,Under-7,M
F,lebanon,lebanon,MiddleSchool,G-07,A,Quran,S,Mum,100.0,75.0,50.0,70.0,Yes,Good,Under-7,H
M,Tunis,Tunis,lowerlevel,G-02,B,French,S,Mum,60.0,52.0,23.0,33.0,Yes,Bad,Under-7,H
M,KW,KuwaIT,MiddleSchool,G-07,A,IT,F,Father,8.0,7.0,30.0,40.0,Yes,Good,Above-7,L
M,KW,KuwaIT,lowerlevel,G-02,C,IT,F,Father,12.0,10.0,20.0,16.0,No,Bad,Under-7,L
F,Jordan,Jordan,MiddleSchool,G-08,A,Chemistry,F,Father,2.0,7.0,4.0,8.0,No,Bad,Above-7,L
M,Jordan,Jordan,MiddleSchool,G-07,A,Biology,F,Father,80.0,80.0,46.0,61.0,Yes,Bad,Under-7,M
M,KW,KuwaIT,lowerlevel,G-04,A,IT,F,Father,20.0,20.0,3.0,25.0,Yes,Good,Under-7,M
M,KW,KuwaIT,MiddleSchool,G-07,A,Math,F,Father,50.0,88.0,30.0,80.0,Yes,Good,Under-7,H
M,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,80.0,90.0,55.0,19.0,Yes,Good,Under-7,H
M,KW,KuwaIT,lowerlevel,G-04,A,Arabic,S,Father,39.0,26.0,12.0,44.0,No,Bad,Above-7,L
F,Jordan,Jordan,MiddleSchool,G-08,A,Geology,F,Mum,90.0,79.0,76.0,79.0,Yes,Good,Under-7,H
F,Jordan,Jordan,lowerlevel,G-02,B,French,S,Mum,24.0,97.0,15.0,14.0,No,Good,Under-7,H
M,KW,KuwaIT,MiddleSchool,G-07,B,Science,S,Father,22.0,20.0,18.0,6.0,No,Bad,Above-7,L
F,Jordan,Jordan,MiddleSchool,G-06,A,English,F,Mum,51.0,79.0,85.0,89.0,Yes,Good,Under-7,H
M,Egypt,Egypt,lowerlevel,G-04,A,Math,S,Mum,49.0,94.0,42.0,7.0,No,Bad,Above-7,M
M,KW,KuwaIT,MiddleSchool,G-07,B,IT,S,Mum,70.0,92.0,83.0,85.0,Yes,Bad,Under-7,H
F,KW,KuwaIT,lowerlevel,G-02,B,IT,F,Father,50.0,70.0,19.0,15.0,Yes,Good,Under-7,H
M,Iraq,Iraq,lowerlevel,G-02,B,Arabic,S,Mum,70.0,83.0,29.0,33.0,Yes,Good,Under-7,H
M,KW,KuwaIT,MiddleSchool,G-07,A,Quran,S,Father,80.0,90.0,55.0,19.0,Yes,Good,Under-7,H
