raisedhands,VisITedResources,AnnouncementsView,Discussion,gender,NationalITy,PlaceofBirth,GradeID,Topic,Semester,Relation,ParentAnsweringSurvey,ParentschoolSatisfaction,StudentAbsenceDays,Class
70.0,69.0,46.0,45.0,F,Jordan,Jordan,G-08,Geology,F,Mum,Yes,Good,Above-7,M
12.0,30.0,0.0,17.0,M,KW,KuwaIT,G-02,IT,F,Father,No,Good,Above-7,L
49.0,70.0,19.0,75.0,F,KW,KuwaIT,G-11,Science,F,Mum,Yes,Good,Under-7,H
72.0,87.0,72.0,89.0,M,Iraq,Iraq,G-08,History,F,Father,Yes,Good,Above-7,M
70.0,92.0,50.0,7.0,F,KW,KuwaIT,G-02,IT,F,Mum,Yes,Good,Under-7,H
80.0,87.0,72.0,60.0,F,KW,KuwaIT,G-04,History,S,Mum,No,Good,Under-7,H
21.0,27.0,52.0,34.0,F,KW,KuwaIT,G-04,History,S,Mum,Yes,Good,Above-7,M
70.0,80.0,25.0,70.0,F,KW,KuwaIT,G-07,IT,F,Father,Yes,Good,Under-7,M
10.0,58.0,51.0,48.0,M,Jordan,Jordan,G-02,Arabic,S,Father,Yes,Good,Above-7,M
1.0,0.0,1.0,12.0,M,KW,KuwaIT,G-02,IT,F,Father,No,Bad,Above-7,L
69.0,76.0,82.0,94.0,F,KW,KuwaIT,G-04,Science,S,Father,No,Bad,Under-7,M
75.0,72.0,64.0,39.0,M,Jordan,Jordan,G-08,Chemistry,F,Mum,Yes,Good,Above-7,L
71.0,70.0,65.0,69.0,M,Palestine,Jordan,G-06,English,F,Mum,Yes,Good,Under-7,M
12.0,11.0,8.0,40.0,M,KW,KuwaIT,G-07,Science,F,Father,No,Bad,Above-7,L
10.0,17.0,50.0,21.0,M,Jordan,Jordan,G-02,Arabic,F,Father,No,Bad,Under-7,M
90.0,88.0,54.0,12.0,F,Jordan,Jordan,G-07,Biology,S,Mum,Yes,Good,Above-7,M
60.0,92.0,83.0,23.0,M,Jordan,Jordan,G-02,French,F,Mum,Yes,Good,Under-7,H
27.0,41.0,32.0,61.0,M,Iran,Iran,G-08,Spanish,S,Mum,Yes,Bad,Above-7,M
4.0,10.0,11.0,7.0,M,Jordan,SaudiArabia,G-02,Arabic,F,Mum,No,Good,Above-7,L
55.0,13.0,35.0,90.0,M,KW,KuwaIT,G-07,Math,F,Father,No,Bad,Above-7,M
