raisedhands,VisITedResources,AnnouncementsView,Discussion,gender,NationalITy,PlaceofBirth,StageID,GradeID,SectionID,Topic,Semester,Relation,ParentAnsweringSurvey,ParentschoolSatisfaction,StudentAbsenceDays,Class
50,88,30,80,1,4,4,1,4,0,8,0,0,1,1,1,H
32,82,59,63,1,3,3,2,0,1,0,1,1,1,0,0,M
50,62,13,33,1,3,3,2,0,1,4,1,0,0,0,0,L
60,80,50,40,0,4,11,0,8,0,9,0,1,0,0,1,M
70,92,50,7,0,4,4,2,0,1,7,0,1,1,1,1,H
12,60,0,70,1,4,4,2,0,0,7,1,0,1,1,0,L
100,75,50,70,0,12,12,1,4,0,9,1,1,1,1,1,H
89,92,89,83,1,2,2,1,4,1,1,1,0,1,1,1,H
80,87,72,60,0,4,4,2,1,0,6,1,1,0,1,1,H
9,6,15,85,0,3,3,1,5,0,2,1,0,0,0,0,L
2,0,2,50,1,4,4,1,4,0,7,0,0,0,0,0,L
69,77,83,92,1,2,2,1,5,0,6,1,0,1,1,0,M
24,97,15,14,0,3,3,2,0,1,4,1,1,0,1,1,H
29,10,12,24,1,3,3,1,5,1,0,1,0,0,0,0,L
60,52,23,33,1,10,10,2,0,1,4,1,1,1,0,1,H
71,81,83,72,1,2,2,1,5,0,5,1,0,1,1,0,M
85,88,79,70,1,7,7,1,5,0,5,1,0,1,1,1,M
50,10,15,22,1,4,4,1,4,0,8,0,0,1,1,1,M
8,7,30,40,1,4,4,1,4,0,7,0,0,1,1,0,L
6,2,38,12,0,4,4,2,0,1,7,0,0,0,0,1,M
69,77,76,75,1,3,3,1,5,0,6,0,1,1,1,0,M
10,20,22,97,0,3,3,2,0,0,0,0,0,0,0,0,L
25,27,0,69,1,4,4,2,0,1,7,0,0,0,0,0,L
25,15,12,33,1,4,4,1,5,0,0,0,0,0,0,0,L
45,87,57,80,0,3,3,1,5,0,6,0,0,1,1,1,M
80,42,20,50,1,3,3,2,0,2,7,0,0,1,1,1,M
60,92,83,23,1,3,3,2,0,0,4,0,1,1,1,1,H
71,70,65,69,1,7,3,1,3,0,3,0,1,1,1,1,M
42,30,13,70,0,4,4,2,1,0,7,0,0,1,0,0,M
50,90,40,90,1,4,4,2,0,1,7,0,0,1,0,1,M
22,20,6,26,1,3,3,1,3,0,3,1,0,0,0,1,H
50,70,19,15,0,4,4,2,0,1,7,0,0,1,1,1,H
70,12,40,50,1,8,8,2,0,1,7,0,0,1,1,1,H
27,41,32,61,1,1,1,1,5,2,11,1,1,1,0,0,M
55,79,44,43,0,3,3,2,1,1,10,0,1,1,1,1,H
87,48,82,96,0,4,4,1,3,0,8,1,0,0,0,0,M
85,75,62,53,1,4,4,1,5,0,0,1,1,1,0,1,H
10,75,55,11,1,10,10,1,4,0,9,1,0,1,1,1,M
80,90,55,19,1,4,4,2,0,1,7,0,0,1,1,1,H
85,82,59,63,1,3,3,1,4,0,1,1,0,1,0,1,M
90,79,76,79,0,3,3,1,5,0,5,0,1,1,1,1,H
70,92,83,85,1,4,4,1,4,1,7,1,1,1,0,1,H
70,99,66,65,0,4,4,2,1,0,6,1,0,0,1,1,M
81,79,91,85,0,3,3,1,3,0,3,1,1,1,1,1,H
80,83,82,71,1,2,2,1,5,0,5,0,0,1,1,0,M
21,12,0,50,1,4,4,2,0,2,7,0,1,1,1,1,M
5,20,1,50,1,4,4,2,0,1,7,0,0,1,1,0,L
69,15,36,96,0,4,4,1,4,0,7,0,1,1,1,1,M
70,83,29,33,1,2,2,2,0,1,0,1,1,1,1,1,H
80,90,55,19,1,4,4,1,4,0,9,1,0,1,1,1,H
10,9,2,1,0,5,5,1,4,1,1,0,1,0,1,0,L
85,89,22,61,1,3,8,1,5,0,5,0,0,0,0,1,H
72,80,58,66,0,4,4,1,4,1,10,1,1,1,1,0,M
39,71,40,26,1,3,3,1,4,0,1,0,0,0,1,0,M
22,51,48,10,1,10,4,1,4,1,10,1,0,0,0,0,L
89,96,45,92,0,3,3,1,5,0,2,1,1,1,1,1,H
12,50,8,30,1,4,4,0,9,0,3,0,1,0,0,0,L
71,84,67,80,1,3,3,1,5,0,5,1,1,1,1,1,M
100,91,98,40,0,8,11,0,8,1,10,1,0,1,0,1,H
18,17,26,34,1,3,3,2,1,0,10,0,0,0,1,0,M
75,90,51,17,0,12,12,2,0,1,4,1,1,1,1,1,H
32,88,32,25,1,3,3,2,0,1,4,0,0,1,1,1,M
70,50,30,49,0,10,11,0,8,1,4,1,0,1,1,1,M
51,79,85,89,0,3,3,1,3,0,3,0,1,1,1,1,H
51,82,53,43,1,4,4,2,0,1,4,1,1,0,0,1,M
10,17,50,21,1,3,3,2,0,0,0,0,0,0,0,1,M
10,17,12,40,1,4,4,2,1,0,6,1,0,1,1,1,H
62,64,69,49,0,3,3,2,1,1,10,1,1,1,1,1,H
49,70,19,75,0,4,4,0,8,0,10,0,1,1,1,1,H
15,16,2,20,1,4,4,2,1,0,7,0,0,1,1,1,M
12,0,6,13,1,4,4,1,4,1,7,0,0,0,0,1,L
50,70,32,40,1,4,4,0,7,0,7,0,0,1,1,1,M
70,50,33,40,1,10,10,0,8,1,10,1,0,0,1,1,M
85,87,72,10,1,3,3,1,5,0,2,0,1,1,1,0,M
29,39,50,77,0,4,4,0,9,0,3,0,0,1,1,1,M
20,20,3,25,1,4,4,2,1,0,7,0,0,1,1,1,M
20,90,50,61,1,3,3,2,0,1,0,0,1,1,0,0,M
65,86,62,40,1,4,4,2,1,0,7,1,0,0,1,0,M
20,77,31,88,1,3,3,2,0,1,0,1,1,1,1,1,M
73,84,77,81,1,4,4,0,8,1,8,1,1,1,1,0,H
2,11,62,30,1,4,4,1,5,1,11,1,0,0,0,1,L
70,80,95,70,0,4,11,0,8,0,9,1,1,1,1,1,H
19,20,16,50,1,4,4,1,4,0,7,0,0,0,1,1,M
10,12,7,33,1,4,4,0,6,0,7,0,0,1,1,0,L
50,62,73,43,0,3,3,2,0,1,4,1,0,1,0,0,M
40,51,20,33,1,12,12,2,0,1,4,1,1,0,0,1,M
39,88,43,72,0,3,3,1,5,0,6,1,0,1,1,1,M
10,51,40,40,1,8,11,0,8,1,11,1,0,0,0,0,L
80,71,52,51,0,4,4,1,5,0,0,1,0,1,1,1,M
88,90,86,81,1,7,7,1,4,0,1,0,0,1,1,1,H
35,97,41,23,1,3,3,2,0,1,4,1,1,1,1,1,H
15,9,14,80,0,3,3,1,5,0,2,0,0,0,0,0,L
60,70,63,93,0,8,8,2,0,1,4,1,0,1,0,1,H
5,13,6,6,1,0,0,2,0,1,4,0,1,0,1,0,L
27,20,33,35,1,9,9,2,0,0,4,1,0,0,0,1,M
70,50,40,99,1,4,4,1,4,1,7,0,1,1,1,1,H
32,14,32,29,1,3,3,2,1,0,10,1,0,0,1,0,M
90,90,57,22,0,2,2,1,4,0,1,1,1,1,1,1,H
30,25,5,35,1,4,4,2,1,0,7,0,0,0,0,0,L
70,50,33,41,1,8,11,0,8,1,3,1,0,0,0,0,M
0,4,8,30,1,4,4,2,0,2,7,0,1,0,0,0,L
36,30,20,80,1,4,4,1,4,1,7,0,0,0,0,0,M
10,98,41,38,1,3,3,2,0,0,0,1,0,1,1,0,M
90,98,41,38,1,7,3,2,0,0,0,0,0,1,1,1,H
